id,createdAtTimestamp,createdAtBlockNumber,token 0 (Name),token 0 (Symbol),token 1 (Name),token 1 (Symbol)
0xbba17b81ab4193455be10741512d0e71520f43cb,1610026912,11607877,Ethereum,ETH,Tether USD,USDT
0x7566126f2fd0f2dddae01bb8a6ea49b760383d5a,1610026925,11607878,Ethereum,ETH,Dai Stablecoin,DAI
0x0ef1b8a0e726fc3948e15b23993015eb1627f210,1610026938,11607879,Ethereum,ETH,1INCH Token,1INCH
0x6a11f3e5a01d129e566d783a7b6e8862bfd66cca,1610026949,11607880,Ethereum,ETH,Wrapped BTC,WBTC
0xb4db55a20e0624edd82a0cf356e3488b4669bd27,1610026959,11607881,Ethereum,ETH,USD Coin,USDC
0xa60a4ff8cf89d5e3d87b62ef68b3801685f22f41,1610046821,11609368,1INCH Token,1INCH,Dai Stablecoin,DAI
0x420631a896f467d9d5eaa70f58eed8c8feeb18dd,1610053640,11609848,Ethereum,ETH,Concentrated Voting Power,CVP
0x0871dd06bfe6347eefc98ee9a7164b2c20f5271f,1610053867,11609862,Ethereum,ETH,Wrapped NXM,wNXM
0xf39b0a6c5d2f223fe8d823492855a34b4efe32b0,1610054035,11609877,Ethereum,ETH,Chi Gastoken by 1inch,CHI
0x04e773bdfd35d5f05179e3d99d5609a62a7a19d6,1610054607,11609921,Ethereum,ETH,yearn.finance,YFI
0xfbc8b082a7658e004955f1b7c71c68a4a5268583,1610054861,11609945,Ethereum,ETH,Republic Token,REN
0x515c75e900d467afdf369ec38cfb09aff2a281b3,1610055205,11609977,Ethereum,ETH,ChainLink Token,LINK
0x5903dace618bac92f23016b2dfef0a7d7f5f49cd,1610055410,11609997,Ethereum,ETH,Maker,MKR
0xe179d801e6882e628d6ce58b94b3c41e35c8518a,1610059076,11610277,1INCH Token,1INCH,Wrapped BTC,WBTC
0x69ab07348f51c639ef81d7991692f0049b10d522,1610059095,11610278,1INCH Token,1INCH,USD Coin,USDC
0x1dea3a7d50a49d618a0df1c490d58f3f5062114b,1610059156,11610281,1INCH Token,1INCH,Tether USD,USDT
0xd05412e051eb134979f2a0c1f8727e8ef941bae2,1610062679,11610525,Dai Stablecoin,DAI,Tether USD,USDT
0x6798afaf218215c93392a33d1826499c828fa35d,1610138784,11616337,Ethereum,ETH,xBTC,xBTC
0x611fcab149b34b857e8526cd1500c92f6ecae313,1610214666,11622009,Dai Stablecoin,DAI,renBTC,renBTC
0x24df89e467b134a860c72f291297edd4e6f82c73,1610249310,11624614,USDFreeLiquidity,USDFL,Dai Stablecoin,DAI
0x55c743fada620a593defa19b5befc843d9478bf3,1610256915,11625213,Ethereum,ETH,Axion,AXN
0x00f401c1e60c9ebf48b1c22c0d87250cc54f979f,1610302635,11628696,Ethereum,ETH,Orchid,OXT
0x4df8fdc5c8f9e5d4de2b2ae6fe9c5a2d320544a9,1610644778,11654526,Ethereum,ETH,Fetch,FET
0x4cc4e0fb1f505389c7b95fad57b5a911a87d3e56,1610888837,11672879,Ethereum,ETH,TSM,TSMX
0x30e5d83276bc7ae54cb448df93e80212944d9ee9,1610905187,11674103,Ethereum,ETH,IQV4U,IQV
0xe40570938f559154a88112197f4cc5885c250691,1610934569,11676357,Chi Gastoken by 1inch,CHI,USD Coin,USDC
0xb4cc12a091ff1778d19fd13461265dacb3f1599c,1611205266,11696809,USDFreeLiquidity,USDFL,,FL
0x18677c37f4142127598c872054e4dbb8cfbee202,1611317263,11705199,Ethereum,ETH,Stark Chain,STARK
0x52a41a294a20c806b5e634b7f398d555c35e6e38,1611359062,11708361,1INCH Token,1INCH,Uniswap,UNI
0x70967e8d2873cccd14c0319fc01742228edcc597,1611420829,11713008,Ethereum,ETH,Armor NXM,arNXM
0x0e1953f27e64ea9dad34ea1b43231a12e14e60cc,1611423933,11713241,Ethereum,ETH,Armor,ARMOR
0xb2abbc8824e92a0ac8d484dca870bedf37866263,1611423933,11713241,Armor,ARMOR,Wrapped BTC,WBTC
0x01a11a5a999e57e1b177aa2ff7fea957605ada2b,1611423951,11713242,Armor,ARMOR,Dai Stablecoin,DAI
0xf10388ee32503e9343dc00603c64401551aaeceb,1611441018,11714576,Ethereum,ETH,Curve DAO Token,CRV
0x77b2d4d852ab091bbdfcd398c7d0dd3a30b9abe1,1611593816,11726096,Republic Token,REN,ChainLink Token,LINK
0x2802cb47382390605edc324aecdaa9ce2b4c8b01,1611599067,11726492,Opium Governance Token,OPIUM,Tether USD,USDT
0x822e00a929f5a92f3565a16f92581e54af2b90ea,1611599083,11726493,Ethereum,ETH,Opium Governance Token,OPIUM
0x629b63ffbe90076cd75f6a3d12d03e5540bf8958,1611599104,11726495,Opium Governance Token,OPIUM,USD Coin,USDC
0x9eeb0c35111eedde68b6d07bbb7ea37a81ba7439,1611601664,11726687,Dai Stablecoin,DAI,Opium cDAI Junior Tranche,OPIUM_LP_a55e
0x669524290d532de2c005925f05d0b5452ff1d5b4,1611602096,11726727,Ethereum,ETH,Opium cDAI Junior Tranche,OPIUM_LP_a55e
0x0753a6e992f18dcc63e49d88adc580b209a6cf8b,1611604445,11726888,Ethereum,ETH,Tedesis,TDI
0x7ad9ad546b39d0377fab7e5d55c361c226247847,1611706524,11734570,Fantom Token,FTM,USD Coin,USDC
0x88f419f254e0e4aa1f4759372baabb7aaa887738,1611775330,11739710,Ethereum,ETH,LGCY Network,LGCY
0xa90b24fb781c761b3088b4769acefd0b27d21e7e,1611783674,11740347,Ethereum,ETH,xINCH,xINCHa
0x8a167c219dde964aa8d594af7f635b4a08a08b5d,1611785448,11740484,Ethereum,ETH,xINCH,xINCHb
0xfce443acd6aad3ea497dff392249bc75093d160f,1612064821,11761390,Ethereum,ETH,Trace Token,TRAC
0xcca4b3d7d73c002d3b206249b339060433f1be6a,1612068554,11761660,Ethereum,ETH,NameChangeToken,NCT
0x51a6315bf905b973409888dfd69a9958ae1982bf,1612088842,11763239,1INCH Token,1INCH,BaoToken,BAO
0x1f629794b34ffb3b29ff206be5478a52678b47ae,1612113489,11765096,Lido DAO Token,LDO,Liquid staked Ether 2.0,stETH
0x084f67f06518572adf435d12abdfb455acaa90a1,1612124501,11765944,1INCH Token,1INCH,AlphaToken,ALPHA
0x79a0b1b62284d20e535d3809ff1143fce23e7c4a,1612160808,11768699,Ethereum,ETH,Lido DAO Token,LDO
0xaa8adbdd94824e5c381ca4a262762945b353359f,1612160859,11768702,Ethereum,ETH,Liquid staked Ether 2.0,stETH
0xfebbe4cccbad7c6d6cff6272b1f3ad36bb1cc798,1612204327,11771957,Ethereum,ETH,future modern builderbucks,BUILD
0x7911982f62c5e7260bada088c91e5e8dc6843b2a,1612227491,11773696,Wrapped BTC,WBTC,Wrapped Ether,WETH
0xd17cf7ddea9e5f58430df9acc9aec2d5d64ef49e,1612292206,11778555,Ethereum,ETH,Portion Token,PRT
0x1a5dab604981cb24980b6b6646718f832ec7af3c,1612311123,11779971,Ethereum,ETH,DSLA,DSLA
0x82cd83fa7a050a1018d9e80a8755132464774ab9,1612446634,11790129,1INCH Token,1INCH,MilkyWay Token by SpaceSwap v2,MILK2
0x45187b597f55a9bd9ef218bd833a4ac102d8ed34,1612447603,11790225,1INCH Token,1INCH,SHAKE token by SpaceSwap v2,SHAKE
0x39fddd9ab42c93830860fec61890f03f20e23644,1612465910,11791617,Ethereum,ETH,Anyswap,ANY
0x4d5f08eccd3d9281632aa3fc6937e98441564544,1612597560,11801492,1INCH Token,1INCH,Opium Governance Token,OPIUM
0x9696d4999a25766719d0e80294f93bb62a5a3178,1612608774,11802334,Ethereum,ETH,TornadoCash,TORN
