timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1616025605,TUSD,TrueUSD,18,550010000000000,True,7500,8000,10500,800000000000000000000000000,0.97707497,14200118223717240460102935,14366211520626897809203060,-1882895639490261963568465,325538070102705353056538,11586857158731272789328789,2233975562384806557134590,2426620637197770010134348,1000,169602102080593338338169908,756379036925330975373091808,85203745169715563478569349,706379036925330975373091808
1616025605,AmmUniWBTCUSDC,Uniswap V2,18,29294528010947564675209748711,True,6000,7000,11500,450000000000000000000000000,0,34546687,34546687,0,34546687,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,GUSD,Gemini dollar,2,549507748992313,False,0,0,0,800000000000000000000000000,0.81952757,665911533,674255182,237302012,120178672,0,541398754,554082426,0,122288856550878380007890209,188812881104018474817145835,0,148812881104018474817145835
1616025605,YFI,yearn.finance,18,19281998510000000000,True,4000,5500,11500,450000000000000000000000000,0.08546287,783814565588514688779,791256761818887455948,303259956097406558260,716827520549496569997,0,72998436492163039056,74433289349881640285,2000,1101218469481815128168685,20904340605328297028048311,0,14633038423729807919633818
1616025605,BAT,Basic Attention Token,18,670880000000000,True,7000,7500,11000,450000000000000000000000000,0.10007773,3048173920288167456570195,3049294063402259810329574,1764295391753044739706852,2743119566953440919257459,137105248871581509598133,167876178719470268599576,168973484339767392308563,2000,2411833046466179577004745,52307918598752689370470275,47797141929963083079200370,15615543019126882559329193
1616025605,MANA,Decentraland MANA,18,579890000000000,True,6000,6500,11000,450000000000000000000000000,0.05679363,39184176813882307610493722,39193726925081167616862835,429330866096408600105425,36958765070631867096623968,31034164046595579007837,2193423027450128784397630,2203698163846645743542552,3500,344165369590267896454484,42670673327936304701600551,38879624586170883037344122,8869471329555413291120387
1616025605,AmmBptWBTCWETH,Balancer Pool Token,18,85059421378722698930,True,6000,7000,11500,450000000000000000000000000,0,658193159250795040,658193159250795040,253812917666629582,658193159250795040,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,UNI,Uniswap,18,17297561034350513,True,6000,6500,11000,450000000000000000000000000,0.0236569,1622723307308678554260800,1623958656613211610506350,33535911716088213365285,1584334694946538188071955,1533265091599495689,39459234250743911780769,39622958149931909094315,2000,74086434078053512792354,6506665371306831840198225,113977414605081642318524,3795554799928985240115631
1616025605,AmmWBTC,Wrapped BTC,8,32060000000000000000,True,7000,7500,11000,650000000000000000000000000,0,0,0,0,0,0,0,0,2000,0,0,0,0
1616025605,WBTC,Wrapped BTC,8,32060000000000000000,True,7000,7500,11000,650000000000000000000000000,0.0249932,712710766940,712827878394,609373836913,694897843746,2325425603,15518088802,15575065318,2000,169374777888089146552620,33863972437046784288751490,44156065393675707285140784,3091177949637427431001192
1616025605,AmmUniYFIWETH,Uniswap V2,18,17694277405466724312,True,5000,6000,11500,450000000000000000000000000,0,0,0,0,0,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,AmmUniCRVWETH,Uniswap V2,18,303013987063607722,True,5000,6000,11500,450000000000000000000000000,0,2163263059871827519821,2163263059871827519821,1283887832281653731274,2163263059871827519821,0,0,0,1500,0,0,0,30000000000000000000000000
